"id","zip_code","sid","default_state","default_city","default_type"
120,"00830",54,"VI","ST JOHN","STANDARD"
121,"00831",54,"VI","ST JOHN","PO BOX"
122,"00840",54,"VI","FREDERIKSTED","STANDARD"
123,"00841",54,"VI","FREDERIKSTED","PO BOX"
124,"00850",54,"VI","KINGSHILL","STANDARD"
125,"00851",54,"VI","KINGSHILL","PO BOX"
126,"00901",46,"PR","SAN JUAN","STANDARD"
127,"00902",46,"PR","SAN JUAN","PO BOX"
128,"00906",46,"PR","SAN JUAN","PO BOX"
129,"00907",46,"PR","SAN JUAN","STANDARD"
130,"00908",46,"PR","SAN JUAN","PO BOX"
131,"00909",46,"PR","SAN JUAN","STANDARD"
132,"00910",46,"PR","SAN JUAN","PO BOX"
133,"00911",46,"PR","SAN JUAN","STANDARD"
134,"00912",46,"PR","SAN JUAN","STANDARD"
135,"00913",46,"PR","SAN JUAN","STANDARD"
136,"00914",46,"PR","SAN JUAN","PO BOX"
137,"00915",46,"PR","SAN JUAN","STANDARD"
138,"00916",46,"PR","SAN JUAN","PO BOX"
139,"00917",46,"PR","SAN JUAN","STANDARD"
140,"00918",46,"PR","SAN JUAN","STANDARD"
141,"00919",46,"PR","SAN JUAN","PO BOX"
142,"00920",46,"PR","SAN JUAN","STANDARD"
143,"00921",46,"PR","SAN JUAN","STANDARD"
144,"00922",46,"PR","SAN JUAN","PO BOX"
145,"00923",46,"PR","SAN JUAN","STANDARD"
146,"00924",46,"PR","SAN JUAN","STANDARD"
147,"00925",46,"PR","SAN JUAN","STANDARD"
148,"00926",46,"PR","SAN JUAN","STANDARD"
149,"00927",46,"PR","SAN JUAN","STANDARD"
150,"00928",46,"PR","SAN JUAN","PO BOX"
151,"00929",46,"PR","SAN JUAN","PO BOX"
152,"00930",46,"PR","SAN JUAN","PO BOX"
153,"00931",46,"PR","SAN JUAN","PO BOX"
154,"00933",46,"PR","SAN JUAN","PO BOX"
155,"00934",46,"PR","FORT BUCHANAN","STANDARD"
156,"00935",46,"PR","SAN JUAN","UNIQUE"
157,"00936",46,"PR","SAN JUAN","PO BOX"
158,"00937",46,"PR","SAN JUAN","PO BOX"
159,"00939",46,"PR","SAN JUAN","UNIQUE"
160,"00940",46,"PR","SAN JUAN","PO BOX"
161,"00949",46,"PR","TOA BAJA","STANDARD"
162,"00950",46,"PR","TOA BAJA","PO BOX"
163,"00951",46,"PR","TOA BAJA","PO BOX"
164,"00952",46,"PR","SABANA SECA","STANDARD"
165,"00953",46,"PR","TOA ALTA","STANDARD"
166,"00954",46,"PR","TOA ALTA","PO BOX"
167,"00955",46,"PR","SAN JUAN","PO BOX"
168,"00956",46,"PR","BAYAMON","STANDARD"
169,"00957",46,"PR","BAYAMON","STANDARD"
170,"00958",46,"PR","BAYAMON","PO BOX"
171,"00959",46,"PR","BAYAMON","STANDARD"
172,"00960",46,"PR","BAYAMON","PO BOX"
173,"00961",46,"PR","BAYAMON","STANDARD"
174,"00962",46,"PR","CATANO","STANDARD"
175,"00963",46,"PR","CATANO","PO BOX"
176,"00965",46,"PR","GUAYNABO","STANDARD"
177,"00966",46,"PR","GUAYNABO","STANDARD"
178,"00968",46,"PR","GUAYNABO","STANDARD"
179,"00969",46,"PR","GUAYNABO","STANDARD"
180,"00970",46,"PR","GUAYNABO","PO BOX"
181,"00971",46,"PR","GUAYNABO","STANDARD"
182,"00975",46,"PR","SAN JUAN","UNIQUE"
183,"00976",46,"PR","TRUJILLO ALTO","STANDARD"
184,"00977",46,"PR","TRUJILLO ALTO","PO BOX"
185,"00978",46,"PR","SAINT JUST","PO BOX"
186,"00979",46,"PR","CAROLINA","STANDARD"
187,"00981",46,"PR","CAROLINA","PO BOX"
188,"00982",46,"PR","CAROLINA","STANDARD"
189,"00983",46,"PR","CAROLINA","STANDARD"
190,"00984",46,"PR","CAROLINA","PO BOX"
191,"00985",46,"PR","CAROLINA","STANDARD"
192,"00986",46,"PR","CAROLINA","PO BOX"
193,"00987",46,"PR","CAROLINA","STANDARD"
194,"00988",46,"PR","CAROLINA","PO BOX"
195,"01001",26,"MA","AGAWAM","STANDARD"
196,"01002",26,"MA","AMHERST","STANDARD"
197,"01003",26,"MA","AMHERST","STANDARD"
198,"01004",26,"MA","AMHERST","PO BOX"
199,"01005",26,"MA","BARRE","STANDARD"
200,"01007",26,"MA","BELCHERTOWN","STANDARD"
201,"01008",26,"MA","BLANDFORD","STANDARD"
202,"01009",26,"MA","BONDSVILLE","PO BOX"
203,"01010",26,"MA","BRIMFIELD","STANDARD"
204,"01011",26,"MA","CHESTER","STANDARD"
205,"01012",26,"MA","CHESTERFIELD","STANDARD"
206,"01013",26,"MA","CHICOPEE","STANDARD"
207,"01014",26,"MA","CHICOPEE","PO BOX"
208,"01020",26,"MA","CHICOPEE","STANDARD"
209,"01021",26,"MA","CHICOPEE","PO BOX"
210,"01022",26,"MA","CHICOPEE","STANDARD"
211,"01026",26,"MA","CUMMINGTON","STANDARD"
212,"01027",26,"MA","EASTHAMPTON","STANDARD"
213,"01028",26,"MA","EAST LONGMEADOW","STANDARD"
214,"01029",26,"MA","EAST OTIS","PO BOX"
215,"01030",26,"MA","FEEDING HILLS","STANDARD"
216,"01031",26,"MA","GILBERTVILLE","STANDARD"
217,"01032",26,"MA","GOSHEN","STANDARD"
218,"01033",26,"MA","GRANBY","STANDARD"
219,"01034",26,"MA","GRANVILLE","STANDARD"
220,"01035",26,"MA","HADLEY","STANDARD"
221,"01036",26,"MA","HAMPDEN","STANDARD"
222,"01037",26,"MA","HARDWICK","PO BOX"
223,"01038",26,"MA","HATFIELD","STANDARD"
224,"01039",26,"MA","HAYDENVILLE","STANDARD"
225,"01040",26,"MA","HOLYOKE","STANDARD"
226,"01041",26,"MA","HOLYOKE","PO BOX"
227,"01050",26,"MA","HUNTINGTON","STANDARD"
228,"01053",26,"MA","LEEDS","STANDARD"
229,"01054",26,"MA","LEVERETT","STANDARD"
230,"01056",26,"MA","LUDLOW","STANDARD"
231,"01057",26,"MA","MONSON","STANDARD"
232,"01059",26,"MA","NORTH AMHERST","PO BOX"
233,"01060",26,"MA","NORTHAMPTON","STANDARD"
234,"01061",26,"MA","NORTHAMPTON","PO BOX"
235,"01062",26,"MA","FLORENCE","STANDARD"
236,"01063",26,"MA","NORTHAMPTON","UNIQUE"
237,"01066",26,"MA","NORTH HATFIELD","PO BOX"
